Espécie	Nome Popular	Sinonímia	Família	Bioma	Formação Vegetal	Fitofisionomias	Presença nos estados	Período de coleta de sementes	Beneficiamento de sementes	Porcentagem de germinação	Substrato da muda	Desenvolvimento da muda no viveiro	Número de sementes/kg	Armazenamento	Semeadura	Nível de sombreamento da muda no viveiro	Tolerância a Sombra	Estratégia ecológica de ocupação	Desenvolvimento da muda no campo	Recomendação de adubação no plantio no campo	Porte da planta	Período de floração	Período de frutificação	Uso Econômico	Caducifolia	Polinização	Dispersão
Actinocladum verticillatum(Nees) McClure ex Soderstr.	Bambuzinho	Arundinaria verticillata, Ludolfia verticillata, Rhipidocladum verticillatum	Poaceae	Cerrado	Florestal	Mata Ciliar, Mata de Galeria	AM, BA, DF, GO, MG, MS, MT, PA, SP		Colher as inflorescências manualmente quando estiverem secas. Passar em máquina trituradora de palha (ensiladeira) para desagregação das sementes.		"




																
								[Saiba mais]
								
								



"						INDIFERENTE (Tolerante no início do ciclo)	Recobrimento		Dispensa total de fertilizantes em cultivo artificial.	Erva	out-dez		Forrageiro	SIM	Vento	Zoocoria (Fauna)
Adesmia bicolor(Poir.) DC.			Fabaceae	Pampa	Campestre, Savânica	Campo Seco, Campo Úmido, Vegetaçao Savanóide	RS	dez-jan	Possui dormência, recomenda-se escarificação com lixa fina na região oposta a micrópila.	> 80% (ótima)	"




																
								[Saiba mais]
								
								



"										Erva	outubro	dezembro a janeiro	Forrageiro			
Adesmia latifolia(Spreng.) Vogel			Fabaceae	Pampa	Campestre	Campo Seco, Campo Úmido	RS, SC	nov-dez			"




																
								[Saiba mais]
								
								



"										Erva	out-abr		Forrageiro		do Gênero Bombus e Megachile.	
Adesmia securigerifoliaHerter			Fabaceae	Pampa	Campestre	Campo Seco, Campo Úmido	RS	set-dez	Possui dormência, recomenda-se escarificação com lixa fina na região oposta a micrópila.	50 a 80% (boa)	"




																
								[Saiba mais]
								
								



"										Erva			Forrageiro		formigas, moscas, abelhas e mariposas	
Aegiphila integrifolia(Jacq.) Moldenke	Tamanqueiro, Minura, Papagaio, Pau-de-tamanco	Aegiphila sellowiana Cham., Callicarpa integrifolia Jacq., Aegiphila amazonica Moldenke, Aegiphila arborea Spruce ex Moldenke, Aegiphila arborescens (Aubl.) J.F.Gmel., Aegiphila arborescens var. breviflora Schauer, Aegiphila conturbata Moldenke, Aegiphila dentata Moldenke, Aegiphila guianensis Moldenke, Aegiphila intermedia Moldenke, Aegiphila minasensis Moldenke, Aegiphila orbignyana Mart. ex Moldenke, Aegiphila parviflora Moldenke, Aegiphila salticola Moldenke, Aegiphila villosa (Aubl.) J.F.Gmel., Callicarpa discolor Willd. ex Steud., Callicarpa globiflora Ruiz & Pav.	Lamiaceae	Cerrado	Florestal	Mata Ciliar, Mata de Galeria	MG, RJ, SP	Cerrado - fev-jun	Colher os frutos diretamente da árvore quando maduros. Os frutos assim obtidos podem ser diretamente utilizados para o plantio como se fossem sementes; não havendo necessidade de despolpá-los.	50 a 80% (boa)	"


T3 Floresta (BDF = BEM DRENADO FÉRTIL)

																
								[Saiba mais]
								
								



"	Rápido (entre 30 e 100 cm/ano)	32000	Semente recalcitrante. Pouco tempo de armazenamento em câmara fria.	Direta em recipientes individuais	50%	INDIFERENTE (Tolerante no início do ciclo)	Diversidade	Rápido (entre 30 e 100 cm/ano)	P3=> BDF: espéceis de Mata Seca (Ex.: Myracrodruon urundeuva)	Árvore (> 3 metros)	Cerrado - dez-jan	Cerrado - fev-abr	Madeireiro, Melífero	SIM	Abelhas	Zoocoria (Fauna)
Aegiphila verticillataVell.	Fruta-de-papagaio, Milho-de-grilo, Tamanqueiro-do-cerrado, Papagaio	Aegiphila lhotzkiana Cham., Aegiphila crenata Moldenke, Aegiphila lanata Moldenke, Aegiphila paraguariensis Briq., Aegiphila rotundifolia Sellow ex Moldenke, Aegiphila splendens Schauer, Aegiphila tomentosa Cham., Aegiphila vestita Mart. ex Moldenke	Lamiaceae	Caatinga, Cerrado	Campestre, Florestal, Savânica	Caatinga Arborea, Campo Sujo, Cerrado, Cerrado Típico, Cerradão, Mata Ciliar, Mata de Galeria, Parque de Cerrado	AM, AP, BA, CE, DF, ES, GO, MA, MG, MS, MT, PA, PB, PE, PR, RJ, RO, SC, SE, SP, TO	Cerrado - jan-jun	Colher os frutos diretamente da árvore quando adquirirem a coloração vermelha. Em seguida deixá-los amontoados em saco plástico até a decomposição parcial da polpa para facilitar a remoção das sementes através da lavagem em água corrente.	20 a 49% (regular)	"


T1 Cerrado (BDPF = BEM DRENADO POUCO FÉRTIL)

																
								[Saiba mais]
								
								



"	Lento (até 30 cm/ano)	7600 a 29000	Semente recalcitrante. Pouco tempo de armazenamento em câmara fria.	Indireta em sementeira	50%	NÃO (Pioneira típica)	Diversidade	Lento (até 30 cm/ano)	P2=> BDPF: espécies de Cerrado (Ex.: Caryocar brasiliense, Eugenia dysenterica)	Árvore (> 3 metros)	Cerrado - set-dez	Cerrado - nov-jan	Cortiça, Forrageiro, Oleaginoso	SIM	Abelhas	Zoocoria (fauna)
Agarista chapadensis(Kin.-Gouv.) Judd	Criúva, Criúva-do-campo	Leucothoe chapadensis Kin.-Gouv.	Ericaceae	Cerrado	Campestre, Savânica	Campo Rupestre, Campo Sujo, Cerrado Rupestre, Cerrado Típico, Vereda	BA, GO, MG	Cerrado - mar-abr	Os frutos devem ser colhidos diretamente da árvore quando iniciarem a abertura espontânea,  deixando secar à sombra sobre lona até completar a abertura e liberação das minúsculas sementes.		"


T1 Cerrado (BDPF = BEM DRENADO POUCO FÉRTIL)

																
								[Saiba mais]
								
								



"		600000		Indireta em sementeira	Pleno Sol	NÃO (Pioneira típica)	Diversidade		P2=> BDPF: espécies de Cerrado (Ex.: Caryocar brasiliense, Eugenia dysenterica)	Árvore (> 3 metros)	Cerrado - jun-ago	Cerrado - jan-mar	Cortiça, Ornamental	NÃO	Beija-flores	Anemocoria (vento)
Agonandra brasiliensisBenth & Hook. F	Tinge-cuia, Quinze-cuia, Marfim-de-veado, Marfim-verde, Pau-marfim, Pau-marfim-do-campo, Marfim, Pau-marfim-da-mata, Cerveja-de-pobre, Cervejinha, Amoreira, Amora-do-mato, Pau-d’alho-do-cerrado	Agonandra lacera Toledo, Agonandra macedoi Toledo	Opiliaceae	Cerrado, Pantanal	Florestal, Savânica	Cerrado Típico, Cerradão, Chaco, Mata Ciliar, Mata Seca, Mata Seca (decídua), Mata Semidecídua, Mata de Galeria	AC, AL, AP, BA, CE, DF, ES, GO, MA, MG, MS, MT, PA, PB, PE, PI, RN, RO, RR, SP, TO	Cerrado - nov-dez ; Pantanal -  nov-dez	Colher os frutos diretamente da árvore quando iniciarem a queda espontânea ou recolhê-los no chão logo após a queda. Em seguida deixá-los amontoados em saco plástico até a decomposiçãoparcial da polpa para facilitar a remoção da semente através da lavagem em água corrente dentro de uma peneira.	50 a 80% (boa)	"


T3 Floresta (BDF = BEM DRENADO FÉRTIL)

																
								[Saiba mais]
								
								



"	Lento (até 30 cm/ano)	415	Semente recalcitrante. Pouco tempo de armazenamento em câmara fria.	Indireta em sementeira	50%	INDIFERENTE (Tolerante no início do ciclo)	Diversidade	Lento (até 30 cm/ano)	P2=> BDPF: espécies de Cerrado (Ex.: Caryocar brasiliense, Eugenia dysenterica)	Árvore (> 3 metros)	Cerrado - jun-out ; Pantanal -  jun-out	Cerrado - out-nov ; Pantanal -  out-dez	Alimentício, Cortiça, Madeireiro, Medicinal, Melífero	SIM	Moscas	Zoocoria (fauna)
Albizia niopoides(Spruce ex Benth.) Burkart	Angico-branco, Farinha-seca, Mulateira, Frango-assado, Canela-de-corvo, Coxa-de-frango, Farinha-seca-de-mico, Manga-do-mato, Pé-de-frango	Pithecellobium niopoides Spruce ex Benth.	Fabaceae	Cerrado, Pantanal	Florestal, Savânica	Cerradão, Chaco, Mata Ripária, Mata Seca, Mata Seca (decídua), Mata Semidecídua, Mata de Galeria	AM, BA, ES, GO, MA, MG, MS, MT, PA, PE, PR, RS, SC, SP	Cerrado - set -out  ; Pantanal -  set -out	As vagens maduras devem ser colhidas diretamente da árvore antes da abertura natural. Em seguida, devem ser expostas ao sol para secar, o que facilita a abertura dos frutos e a liberação das sementes.	20 a 49% (regular)	"


T3 Floresta (BDF = BEM DRENADO FÉRTIL)

																
								[Saiba mais]
								
								



"	Muito Rápido ( > 100 cm/ano)	36000	Tempo indeterminado em câmara fria.	Indireta em sementeira	50%	SIM (Tolerante em todo o ciclo de vida)	Diversidade	Muito Rápido ( > 100 cm/ano)	P3=> BDF: espéceis de Mata Seca (Ex.: Myracrodruon urundeuva)	Arvoreta (≤  3 metros)	Cerrado - out-jan ; Pantanal -  out-jan	Cerrado - set-out ; Pantanal -  set-out	Madeireiro, Ornamental	SIM	Abelhas, beija-flores	Autocoria
Albizia pedicellaris(DC.) L.Rico	Balizia, Jaguarana, Ingarana, Escorrega-macaco	Pithecellobium pedicellare (DC.) Benth., Inga pedicellaris DC., Balizia pedicellaris (DC.) Barneby & J.W.Grimes	Fabaceae	Amazônia	Florestal, Savânica	Restinga, Terra Firme	AC, AL, AM, AP, BA, DF, ES, MA, MG, MS, MT, PA, PE, PR, RJ, RN, RO, TO	set-out	As vagens maduras devem ser colhidas diretamente da árvore antes da abertura natural. Em seguida, devem ser expostas ao sol para secar, o que facilita a abertura dos frutos e a liberação das sementes.	50 a 80% (boa)	"


3 partes de terra preta+ 1 parte de serragem +1  parte de esterco de gado ou cama de aviário

																
								[Saiba mais]
								
								



"	Rápido (entre 30 e 100 cm/ano)	35000	Tempo indeterminado em câmara fria.	Indireta em sementeira	50%	NÃO (Pioneira típica)	Diversidade	Rápido (entre 30 e 100 cm/ano)	**Amazônia S01	Árvore (> 3 metros)	dez-fev	set-out	Madeireiro	NÃO	Beija-flores	Autocoria
Albizia polycephala(Benth.) Killip ex Record	Monjolo-alho, Angico, Angico-branco, Farinha-seca, Camunzé	Pithecolobium polycephalum Benth.	Fabaceae	Mata Atlântica	Florestal	Floresta Estacional Semidecidual, Floresta Ombrófila Densa, Floresta Ombrófila Mista	AL, BA, CE, ES, GO, MG, MS, PB, PE, PI, PR, RJ, RN, RS, SC, SE, SP	Mata Atlântica - mai - jun	Deixar os frutos secarem ao sol para completarem a abertura e liberação das sementes.	10 a 19% (baixa)	"


Compostos orgânicos (esterco bovino, casca de eucalipto, bagaço de cana) + terra + vermiculita. Mais informações no MANUAL TÉCNICO PARA A RESTAURAÇÃO DE ÁREAS DEGRADADAS NO ESTADO DO RIO DE JANEIRO (Moraes et al., 2012).

																
								[Saiba mais]
								
								



"	Rápido (entre 30 e 100 cm/ano)	25600	Após a secagem armazenar a 5°C	Indireta em sementeira		NÃO (Pioneira típica)	Recobrimento	Lento (até 30 cm/ano)		Árvore (> 3 metros)	Mata Atlântica - nov -dez	Mata Atlântica - mai - jun	Alimentício	SIM	Abelhas, beija-flores	Autocoria
Alchornea glandulosaPoepp. & Endl.	Lava-prato, Pau-folheiro, Araribá, Boleiro, Amor-seco, Casca-doce, Drago, Folha-larga, Iricurana, Pau-d'água, Sangue-de-drago, Tanheiro, Tapiá, Urucurana, Tanheiro, Tanheiro-de-folha-redonda, Caixeta, Caixeta-preta, Canela-raposa, Licurana, Maria-mole, Pau-de-bolo, Pombeiro, Tamanqueiro, Tapiá-branca, Tapiá-de-folhas-redondas, Maragonçalo	Alchornea glandulosa var. genuina Müll.Arg.	Euphorbiaceae	Amazônia, Cerrado, Mata Atlântica	Florestal, Savânica	Floresta Ombrófila Densa, Floresta Ombrófila Mista, Mata Ciliar, Mata de Galeria, Restinga, Restinga Arbórea/Arbustiva	AC, AM, BA, DF, ES, MA, MG, MT, PA, PR, RJ, RO, RR, SC, SE, SP	Cerrado - set-jan ; Mata Atlântica - set-out; Amazônia - set-jan	Os frutos devem ser colhidos diretamente da árvore ao iniciarem a abertura espontânea. O que é facilmente notado pela exposição do arilo vermelho-vivo que envolve a semente. Em seguida, os frutos devem ser expostos ao sol para completar a abertura e liberação das sementes. Não há necessidade de retirar o arilo da semente, mas apenas deixá-lo secar.	50 a 80% (boa)	"


T3 Floresta (BDF = BEM DRENADO FÉRTIL)

																
								[Saiba mais]
								
								



"	Rápido (entre 30 e 100 cm/ano)	19500	Não aconselhável o armazenamento, pois perdem a viabilidade sob refrigeração	Indireta em sementeira	50%	INDIFERENTE (Tolerante no início do ciclo)	Diversidade	Rápido (entre 30 e 100 cm/ano)	P3=> BDF: espéceis de Mata Seca (Ex.: Myracrodruon urundeuva)	Árvore (> 3 metros)	Cerrado - mai-jul ; Mata Atlântica - mai -jun; Amazônia - jun-nov	Cerrado - set-jan ; Mata Atlântica - set - set; Amazônia - set-jan	Celulose, Madeireiro, Medicinal	NÃO	Moscas	Zoocoria (Fauna)
Alchornea triplinervia(Spreng.) Müll.Arg.	Alcórnea, Caixeta-branca, Canela-samambaia, Malacaxeta, Tamanqueira, Tapiazeiro, Tapiá-guaçu-branco, Algodoeiro, Boleiro, Cebolão, Taneiro, Tapiá-açu, Ará-de-espinho, Aricurana, Canela-raposa, Sangue-de-drago, Tapiá-vermelho, Jangada, Sete-cascas, Supiarana-igapó, Tanheiro, Tapi, Boleiro, Tanheiro, Tapiá, Tanho	Alchornea acroneura Pax & K.Hoffm., Alchornea brevistyla Pax & K.Hoffm., Alchornea glandulosa var. parvifolia Benth., Alchornea intermedia Klotzsch ex Benth., Alchornea janeirensis Casar., Alchornea nemoralis Mart., Alchornea nemoralis var. intermedia Baill., Alchornea nemoralis var. janeirensis (Casar.) Baill., Alchornea nemoralis var., lanceolata Baill., Alchornea nemoralis var. major Müll.Arg. ex Pax & K.Hoffm., Alchornea nemoralis var. parvifolia Baill., Alchornea nemoralis var. psilorhachis Baill., Alchornea nemoralis var. rotundifolia Baill., Alchornea obovata Pax & K.Hoffm., Alchornea parvifolia Miq., Alchornea psilorhachis Klotzsch ex Benth., Alchornea rotundifolia Moric. ex Baill., Alchornea triplinervia var. boliviana Pax & K.Hoffm., Alchornea triplinervia var. crassifolia Müll.Arg., Alchornea triplinervia var. genuina Müll.Arg., Alchornea triplinervia var. iricuranoides Chodat & Hassl., Alchornea triplinervia var. janeirensis (Casar.) Müll.Arg., Alchornea triplinervia var. laevigata Müll.Arg., Alchornea triplinervia var. lanceolata (Baill.) Müll.Arg., Alchornea triplinervia var. nemoralis (Mart.) Pax & K.Hoffm., Alchornea triplinervia var. parvifolia (Miq.) Müll.Arg., Alchornea triplinervia var. tomentella Müll.Arg., Alchornea triplinervia var. trinitatis L.Riley, Antidesma triplinervium Spreng., Alchornea triplinervia (Spreng.) Müll.Arg. var. triplinervia	Euphorbiaceae	Cerrado, Mata Atlântica, Pampa, Pantanal	Campestre, Florestal, Savânica	Campos Rupestres, Cerradão, Floresta Estacional, Floresta Estacional Semidecidual, Floresta Ombrófila Densa, Floresta Ombrófila Mista, Mata Ciliar, Mata Semidecídua, Mata de Galeria, Restinga, Restinga Arbórea/Arbustiva	AC, AM, BA, ES, GO, MG, MS, MT, PE, PR, RJ, RO, RR, RS, SC, SP	Cerrado - set-dez ; Mata Atlântica - dez-jan ; Pantanal -  set-dez	Colher frutos diretamente da árvore quando iniciarem a abertura espontânea; o que é facilmente notado pela exposição do arilo vermelho vivo que envolve as sementes. Em seguida levá-los para o sol para completar a abertura e liberação das sementes. Não há necessidade de retirar o arilo das sementes; apenas deixá-lo secar.	50 a 80% (boa)	"


T3 Floresta (BDF = BEM DRENADO FÉRTIL)

																
								[Saiba mais]
								
								



"	Rápido (entre 30 e 100 cm/ano)	18500	Não aconselhável o armazenamento, pois perdem a viabilidade sob refrigeração	Indireta em sementeira	50%	INDIFERENTE (Tolerante no início do ciclo)	Recobrimento	Rápido (entre 30 e 100 cm/ano)	P3=> BDF: espéceis de Mata Seca (Ex.: Myracrodruon urundeuva)	Árvore (> 3 metros)	Cerrado - mai-jul ; Mata Atlântica - out - nov ; Pantanal -  mai-jul; Pampa - out-mar	Cerrado - set-dez ; Mata Atlântica - jun - nov ; Pantanal -  set-dez; Pampa - dez-jan	Artesanal, Latex, Madeireiro, Melífero, Tanífero	NÃO	Moscas	Zoocoria (Fauna)
Aldama bracteata(Gardner) E.E.Schill. & Panero	Margarida	Viguiera bracteata Gardner, Aldama imbricata (Baker) E. E. Schill. & Panero, Aldama quinqueremis (S. F. Blake) E. E. Schill. & Panero.	Asteraceae	Cerrado	Campestre, Savânica	Campo Limpo, Campo Rupestre, Campo Sujo, Cerrado Rupestre, Cerrado Típico	DF, GO, MG, MS	abr-mai	Colher quando as inflorescências estiverem secas. O uso de ensiladeira pode ajudar na colheita.	20 a 49% (regular)	"




																
								[Saiba mais]
								
								



"		66666666				NÃO (Pioneira típica)	Diversidade			Arbusto	mar-mai	abr-mai		NÃO	Abelhas	Anemocoria (vento)
Aldina heterophyllaSpruce ex Benth.	Macucú		Fabaceae	Amazônia	Florestal, Savânica	Campinarana, Terra Firme	AM	abr-mai	Colher os frutos no chão quando iniciarem a queda espontânea. Em seguinda, abrir manualmente para retirada da semente única.	10 a 19% (baixa)	"


3 partes de terra preta+ 1 parte de serragem +1  parte de esterco de gado ou cama de aviário

																
								[Saiba mais]
								
								



"	Rápido (entre 30 e 100 cm/ano)	75		Indireta em sementeira	50%	NÃO (Pioneira típica)	Recobrimento	Rápido (entre 30 e 100 cm/ano)	**Amazônia S01	Árvore (> 3 metros)	jan-mar	abr-mai	Medicinal	NÃO	Abelhas	Zoocoria (Fauna)
