id,Espécie,Nome Popular,Sinonímia,Gênero,Família,Bioma,Formação Vegetal,Fitofisionomias,Presença nos estados,Período de coleta de sementes,Beneficiamento de sementes,Porcentagem de germinação,Substrato da muda,Desenvolvimento da muda no viveiro,Número de sementes/kg,Armazenamento,Semeadura,Nível de sombreamento da muda no viveiro,Tolerância a Sombra,Estratégia ecológica de ocupação,Desenvolvimento da muda no campo,Recomendação de adubação no plantio no campo,Porte da planta,Período de floração,Período de frutificação,Uso Econômico,Caducifolia,Polinização,Dispersão
21,Alchornea glandulosa,Lava-prato|Pau-folheiro|Araribá|Boleiro|Amor-seco|Casca-doce|Drago|Folha-larga|Iricurana|Pau-d'água|Sangue-de-drago|Tanheiro|Tapiá|Urucurana|Tanheiro|Tanheiro-de-folha-redonda|Caixeta|Caixeta-preta|Canela-raposa|Licurana|Maria-mole|Pau-de-bolo|Pombeiro|Tamanqueiro|Tapiá-branca|Tapiá-de-folhas-redondas|Maragonçalo,Alchornea glandulosa,Alchornea,Euphorbiaceae,amazonia|cerrado|mata atlantica,florestal|savanica,floresta ombrofila densa|floresta ombrofila mista|mata ciliar|mata de galeria|restinga|restinga arborea/arbustiva,ac|am|ba|df|es|ma|mg|mt|pa|pr|rj|ro|rr|sc|se|sp,cerrado: (set-jan); mata atlantica: (set-out); amazonia: (set-jan),"Os frutos devem ser colhidos diretamente da árvore ao iniciarem a abertura espontânea. O que é facilmente notado pela exposição do arilo vermelho-vivo que envolve a semente. Em seguida, os frutos devem ser expostos ao sol para completar a abertura e liberação das sementes. Não há necessidade de retirar o arilo da semente, mas apenas deixá-lo secar.",3.0,t3,1.0,19.5,"Não aconselhável o armazenamento, pois perdem a viabilidade sob refrigeração",1.0,1.0,2.0,diversidade,1.0,p3,arvore,cerrado: (mai-jul); mata atlantica: (mai-jun); amazonia: (jun-nov),cerrado: (set-jan); mata atlantica: (set-set); amazonia: (set-jan),celulose|madeireiro|medicinal,0.0,moscas,zoocoria
22,Alchornea triplinervia,Alcórnea|Caixeta-branca|Canela-samambaia|Malacaxeta|Tamanqueira|Tapiazeiro|Tapiá-guaçu-branco|Algodoeiro|Boleiro|Cebolão|Taneiro|Tapiá-açu|Ará-de-espinho|Aricurana|Canela-raposa|Sangue-de-drago|Tapiá-vermelho|Jangada|Sete-cascas|Supiarana-igapó|Tanheiro|Tapi|Boleiro|Tanheiro|Tapiá|Tanho,Alchornea acroneura|Alchornea brevistyla|Alchornea glandulosa|Alchornea intermedia|Klotzsch ex|Alchornea janeirensis|Alchornea nemoralis|Alchornea nemoralis|Alchornea nemoralis|Alchornea nemoralis|Alchornea nemoralis|Alchornea nemoralis|Alchornea nemoralis|Alchornea nemoralis|Alchornea obovata|Alchornea parvifolia|Alchornea psilorhachis|Klotzsch ex|Alchornea rotundifolia|Alchornea triplinervia|Alchornea triplinervia|Alchornea triplinervia|Alchornea triplinervia|Alchornea triplinervia|Alchornea triplinervia|Alchornea triplinervia|Alchornea triplinervia|Alchornea triplinervia|Alchornea triplinervia|Alchornea triplinervia|Antidesma triplinervium|Alchornea triplinervia,Alchornea,Euphorbiaceae,cerrado|mata atlantica|pampa|pantanal,campestre|florestal|savanica,campos rupestres|cerradao|floresta estacional|floresta estacional semidecidual|floresta ombrofila densa|floresta ombrofila mista|mata ciliar|mata semidecidua|mata de galeria|restinga|restinga arborea/arbustiva,ac|am|ba|es|go|mg|ms|mt|pe|pr|rj|ro|rr|rs|sc|sp,cerrado: (set-dez); mata atlantica: (dez-jan); pantanal: (set-dez),Colher frutos diretamente da árvore quando iniciarem a abertura espontânea; o que é facilmente notado pela exposição do arilo vermelho vivo que envolve as sementes. Em seguida levá-los para o sol para completar a abertura e liberação das sementes. Não há necessidade de retirar o arilo das sementes; apenas deixá-lo secar.,3.0,t3,1.0,18.5,"Não aconselhável o armazenamento, pois perdem a viabilidade sob refrigeração",1.0,1.0,2.0,recobrimento,1.0,p3,arvore,cerrado: (mai-jul); mata atlantica: (out-nov); pantanal: (mai-jul); pampa: (out-mar),cerrado: (set-dez); mata atlantica: (jun-nov); pantanal: (set-dez); pampa: (dez-jan),artesanal|latex|madeireiro|melifero|tanifero,0.0,moscas,zoocoria
23,Aldama bracteata,Margarida,Viguiera bracteata|Aldama imbricata|Aldama quinqueremis,Aldama,Asteraceae,cerrado,campestre|savanica,campo limpo|campo rupestre|campo sujo|cerrado rupestre|cerrado tipico,df|go|mg|ms,all: (abr-mai),Colher quando as inflorescências estiverem secas. O uso de ensiladeira pode ajudar na colheita.,2.0,,,66666.666,,,,0.0,diversidade,,,arbusto,all: (mar-mai),all: (abr-mai),,0.0,abelhas,anemocoria
24,Aldina heterophylla,Macucú,,Aldina,Fabaceae,amazonia,florestal|savanica,campinarana|terra firme,am,all: (abr-mai),"Colher os frutos no chão quando iniciarem a queda espontânea. Em seguinda, abrir manualmente para retirada da semente única.",1.0,s1,1.0,0.075,,1.0,1.0,0.0,recobrimento,1.0,s01,arvore,all: (jan-mar),all: (abr-mai),medicinal,0.0,abelhas,zoocoria
25,Alibertia edulis,Marmelada|Marmelada-olho-de-boi|Marmela-de-bola|Bola|Marmelada-de-bezerro|Puruí|Puruizinho|Marmelada-de-cavalo|Apuruí|Marmelada-de-cachorro|Arapuruí|Goiaba-preta,Genipa edulis|Alibertia oligantha|Alibertia panamensis|Amaioua utilis|Borojoa lanceolata|Thieleodoxa lanceolata|Amaioua edulis|Cordiera edulis|Gardenia edulis|Sabicea edulis,Alibertia,Rubiaceae,cerrado|pantanal,florestal|savanica,cerrado tipico|cerradao|chaco|mata ciliar|mata riparia|mata semidecidua|mata de galeria|vereda,ac|am|ap|ba|df|ma|mg|ms|mt|pa|pi|sp|to,cerrado: (dez-jan); pantanal: (dez-jan),"Os frutos devem ser colhidos diretamente da árvore quando iniciarem a queda espontânea (coloração escura do fruto), ou recolhidos no chão. Em seguida deixá-los amontoados em saco plástico até o apodrecimento parcial de sua polpa para facilitar a separação das sementes através da lavagem em água corrente.",3.0,t1,1.0,23.05,De um a dois anos em câmara fria.,1.0,3.0,2.0,diversidade,1.0,p2,arvoreta,cerrado: (out-dez); pantanal: (out-dez),cerrado: (dez-fev); pantanal: (dez-fev),alimenticio|forrageiro|madeireiro|ornamental,1.0,abelhas|moscas,zoocoria
26,Alibertia sorbilis,Puruí-grande|Borojó,Borojoa sorbilis|Thieleodoxa sorbilis|Huber ex,Alibertia,Rubiaceae,amazonia,florestal,mata de varzea|terra firme,ac|am|pa|ro,all: (jul-out),"Colher os frutos diretamente da árvore quando maduros. Em seguida, despolpar manualmente em água corrente com peneira, deixando-se as sementes secarem a sombra para posterior semeadura.",,s1,0.0,,De um a dois anos em câmara fria.,1.0,,0.0,recobrimento,0.0,s01,arvoreta,all: (jan-mar),all: (jul-out),alimenticio,0.0,abelhas,zoocoria
27,Allantoma lineata,Seru,Allantoma cylindrica|Allantoma dictyocarpa|Allantoma dilatata|Allantoma impressa|Allantoma macrocarpa|Goeldinia riparia|Allantoma scutellata|Allantoma torulosa|Couratari aulacocarpa|Couratari dictyocarpa|Couratari lineata|Allantoma aulacocarpa|Couratari macrocarpa|Goeldinia ovatifolia|Allantoma burchelliana|Allantoma caudata|Allantoma corbula,Allantoma,Lecythidaceae,amazonia,florestal,mata ciliar|mata de varzea,am|pa,all: (mai-ago),"Colher os frutos (cápsula) diretamente da árvore quando iniciarem a abertura espontânea. Em seguida, deixá-los ao sol para completarem sua abertura e a liberação das sementes.",1.0,s1,0.0,0.22,Tempo indeterminado em câmara fria.,1.0,1.0,2.0,recobrimento,1.0,s01,arvore,all: (out-dez),all: (jan-ago),,0.0,abelhas|besouros,autocoria
28,Allophylus edulis,Fruta-de-faraó|Vacum|Chau-chau|Baga-de-morcego|Olho-de-pombo|Quebra-queixo|Murta-vermelha|Fruta-de-pavó|No AC: Vela-branca|Na BA: Leiteira|Em MT: Pau-pombo E Três-folhas|Em MG: Pau-pombo|Balãozinho E Visgueiro|No PR: Chal-chal|Cuncum|Vacum E Vacunzeiro|No RS E SC: Baga-de-morcego|Chal-chal|Vacum|Em SP: Amarelinho|Beira-campo|Fruta-de-faraó|Fruta-de-pavão|Fruta-do-pompo|E Três-folhas.,,Allophylus,Sapindaceae,caatinga|mata atlantica|pampa,florestal|savanica,caatinga arborea|cerradao|floresta estacional|floresta estacional semidecidual|floresta ombrofila densa|floresta ombrofila mista|mata brejo de altitude|mata ciliar|restinga|vegetacao savanoide,al|ba|ce|es|go|ma|mg|ms|pa|pb|pe|pi|pr|rj|rn|rs|sc|se|sp|to,mata atlantica: <sc (out-nov)><sp (out-dez)><go (dez-dez)><rs (nov-fev)><pr (nov-mar)>,Os frutos devem ser colhidos quando adquirirem coloração avermelhada. Em seguida devem ser macerados e despolpados em água corrente.,4.0,ga,0.0,24.143,"Não devem ser armazenadas, pois são recalcitrantes.",1.0,,0.0,diversidade,2.0,,arvore,mata atlantica: <sp (jul-set)><pr (jul-dez)><sc (jul-nov)><rs (set-nov)>,mata atlantica: (out-nov); pampa: (nov-dez),alimenticio|latex|madeireiro|medicinal|oleaginoso|ornamental,1.0,abelhas,zoocoria
29,Aloysia gratissima,Ervas-santa|Garupá,,Aloysia,Verbenaceae,pampa,campestre|florestal,campo seco|campo umido|mata ciliar,ba|es|go|mg|pr|rj|rs|sc|sp,,reproduz-se por estaquia. Lentidão na propagação por sementes.,,,,3448.0,,,,2.0,recobrimento,,,arvoreta,,,aromatico|madeireiro|medicinal|melifero|oleaginoso,0.0,insetos,anemocoria
30,Aloysia virgata,Lixeira|Lixeirinha|Cambará|Lixa,Aloysia urticoides|Aloysia virgata|Aloysia virgata|Aloysia virgata|Aloysia virgata|Lippia arborea|Lippia urticoides|Lippia urticoides|Verbena virgata,Aloysia,Verbenaceae,mata atlantica|pantanal,florestal,floresta estacional decidual|floresta estacional semidecidual|floresta ombrofila densa|floresta ombrofila mista|mata seca (decidua)|mata semidecidua,ba|df|es|go|ma|mg|ms|mt|pr|rj|rs|se,mata atlantica: (out-nov); pantanal: (out-nov),"Colher as inflorescências inteiras logo após a secagem das flores, quando os frutos caem facilmente a um leve toque. Em seguida bater o material colhido em lona plática e separar os peduncúlos. Devido ao pequeno peso das sementes, protegê-las do vento durante seu preparo.",4.0,ga,1.0,6670.0,Tempo indeterminado em câmara fria.,1.0,1.0,0.0,recobrimento,1.0,,arbusto,mata atlantica: (ago-nov); pantanal: (set-nov) (abr-jun),mata atlantica: (out-out); pantanal: (out-nov),alimenticio|aromatico|forrageiro|madeireiro|medicinal|oleaginoso|ornamental,1.0,abelhas,autocoria
31,Amanoa guianensis,Amanoa|Puruí,Amanoa bracteata|Amanoa grandiflora|Amanoa guianensis|Amanoa guianensis|Amanoa guianensis|Amanoa guianensis|Amanoa macrocarpa|Amanoa potamophila,Amanoa,Phyllanthaceae,amazonia,florestal|savanica,campinarana|mata de varzea|savana|terra firme,ac|am|ap|ba|ma|ms|mt|pa|pe|ro|rr|se,all: (jan-fev),"Colher os frutos diretamente da árvore antes da abertura natural. Em seguida, devem ser deixadas para secar à sombra sobre lona e sob tela fina, o que ajuda a evitar a perda de sementes.",3.0,s1,,1.5,,1.0,1.0,,diversidade,,s01,arvore,all: (ago-set),all: (jan-fev),,0.0,abelhas,autocoria
32,Amburana cearensis,Cumaru|Amburana|Amburana-de-cheiro|Angelim|Baru|Cabocla|Cerejeira|Cerejeira-rajada|Cumaré|Cumaru-das-caatingas|Cumaru-de-cheiro|Cumaru-do-ceará|Cumbaru|Cumbaru-das-caatingas|Emburana|Emburana-de-cheiro|Imburana|Imburana-brava|Imburana-cheirosa|Imburana-de-cheiro|Louro-ingá|Umburana|Umburana-de-cheiro|Umburana-lisa|Umburana-macho|Umburana-vermelha. Na Aegentina: Roble|Criollo|Na Bolivia: Tumi|No Paraguai: Palo Trébol|No Peru: Ishpingo.,Torresea cearensis|Amburana claudii,Amburana,Fabaceae,caatinga|cerrado|pantanal,florestal|savanica,caatinga arborea|chaco|mata seca|mata seca (decidua),al|ba|ce|df|es|go|ma|mg|ms|pb|pe|pi|rn|se|sp|to,cerrado: (set-out); pantanal: (set-out); caatinga: (ago-set),"Colher frutos diretamente da árvore, quando iniciar a queda espontânea, ou recolhê-los no chão, após a queda. Secar frutos ao sol; separar ""asas"" para semear.",3.0,t3,0.0,1.6,Tempo indeterminado em câmara fria.,2.0,3.0,0.0,diversidade,0.0,p3,arvore,cerrado: (mar-jun); pantanal: (mar-jun); caatinga: (mai-jul),cerrado: (set-out); pantanal: (set-out); caatinga: (jul-set),artesanal|aromatico|condimento|cosmetico|madeireiro|medicinal|melifero|ornamental,1.0,abelhas,anemocoria
33,Anacardium giganteum,Caju-Açu|Caju-da-mata|Caju|Caju-bravo|Cajueiro-da-mata|Cajuí|Cajuí-da-mata,Anacardium giganteum|Loudon ex,Anacardium,Anacardiaceae,amazonia,florestal,terra firme,ac|am|ma|mt|pa|ro|rr,all: (abr-set),"O verdadeiro fruto (castanha) deve ser colhido diretamente da árvore ou no chão quando iniciarem a queda espontânea. Separar a castanha da parte suculenta (pseudofruto). Antes de semear recomenda-se deixar as castanhas em repouso dentro da água durante 48h, trocando-se a água a cada 8h. A castanha assim preparada está pronta para ser semeada.",4.0,s1,1.0,0.35,Tempo indeterminado em câmara fria.,2.0,1.0,1.0,diversidade,,s01,arvore,all: (jun-ago),all: (out-nov),alimenticio|madeireiro|medicinal,0.0,abelhas,zoocoria
